Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
BISC171194,LEC,Microbiology in Modern Society,NEWRK,3 Hrs,,Canceled,,
BISC171195,LEC,Microbiology in Modern Society,NEWRK,3 Hrs,,Canceled,,
BISC207010,LEC,Introductory Biology I,NEWRK,4 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Van Golen,Kenneth Louis"
BISC207010L,LAB,Introductory Biology I,NEWRK,4 Hrs,TF,10:00AM - 12:30PM ,Jun 7 - Jul 9,"Kasprzak,Megan Elise"
BISC207011L,LAB,Introductory Biology I,NEWRK,4 Hrs,TF,1:00PM - 3:30PM ,Jun 7 - Jul 9,"Kasprzak,Megan Elise"
BISC208910,LEC,Introductory Biology II,NEWRK,4 Hrs,MTWR,10:15AM - 12:15PM ,Jul 12 - Aug 12,"Mahaffy,Lynn A"
BISC208910L,LAB,Introductory Biology II,NEWRK,4 Hrs,MR,1:00PM - 3:30PM ,Jul 12 - Aug 12,"Kasprzak,Megan Elise"
BISC208911L,LAB,Introductory Biology II,NEWRK,4 Hrs,MR,4:00PM - 6:30PM ,Jul 12 - Aug 12,"Kasprzak,Megan Elise"
BISC276910,LEC,Human Physiology,NEWRK,4 Hrs,ASYN,Second Summer Session 7/12-8/12,Jul 12 - Aug 12,"Rohe,Benjamin"
BISC306010,LEC,General Physiology,NEWRK,3 Hrs,ASYN,First Summer Session 6/7-7/9,Jun 7 - Jul 9,"Trimby,Christopher Matthew"
BISC306910,LEC,General Physiology,NEWRK,3 Hrs,MW,5:00PM - 8:45PM ,Jul 12 - Aug 12,"Reed,William Aldred"
BISC366000,IND,Independent Study,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jun 7 - Jul 9,Staff
BISC366900,IND,Independent Study,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM ,Jul 12 - Aug 12,"Ali-Khan,Zohra Jabeen"
