Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
HDFS346010,LEC,Counseling in Human Services,NEWRK,3 Hrs,W,3:35PM - 6:15PM,Aug 31 - Dec 10,"Raible,Stephanie E"
HDFS346080,LEC,Counseling in Human Services,NEWRK,3 Hrs,W,3:35PM - 6:15PM,Aug 31 - Dec 10,"Raible,Stephanie E"
HDFS347010,LEC,Program Development and Evaluation,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Aug 31 - Dec 10,"Giancola,Susan Poland"
HDFS347080,LEC,Program Development and Evaluation,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Aug 31 - Dec 10,"Giancola,Susan Poland"
HDFS364011,LAB,Field Experiences in Administration,NEWRK,1-9 Hrs,TBD,12:00AM - 12:00AM,Aug 31 - Dec 10,"Dolan,Danielle Troise"
HDFS366000,IND,Independent Study,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Aug 31 - Dec 10,Staff
HDFS402011,LEC,Child and Family Policy,NEWRK,3 Hrs,M,5:00PM - 8:00PM,Aug 31 - Dec 10,"Eidelman,Steven M"
HDFS402012,LEC,Child and Family Policy,NEWRK,3 Hrs,MWF,10:10AM - 11:00AM,Aug 31 - Dec 10,"Hustedt PhD,Jason"
HDFS406010,LEC,Supporting Literacy in Early Childhood Education,NEWRK,3 Hrs,T,5:00PM - 8:00PM,Aug 31 - Dec 10,"DiGregorio,Marcie"
HDFS406011,LEC,Supporting Literacy in Early Childhood Education,NEWRK,3 Hrs,W,5:00PM - 8:00PM,Aug 31 - Dec 10,"Skrobot,Christine Renee"
HDFS409010,LEC,Domestic Violence Services,NEWRK,3 Hrs,W,5:00PM - 8:00PM,Aug 31 - Dec 10,"Fleury,Ruth E"
HDFS412010,LEC,Early Childhood Inclusive Math Curriculum and Assessment,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Aug 31 - Dec 10,"Ryan,Sarah Lewis"
