Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
BISC127070,LEC,Environments and Cultures in Conflict,NEWRK,4 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Bartley,John A"
BISC171194,LEC,Microbiology in Modern Society,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Stevenson,Natalie Weaver"
BISC171195,LEC,Microbiology in Modern Society,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Stevenson,Natalie Weaver"
BISC207010,LEC,Introductory Biology I,NEWRK,4 Hrs,MTWRF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Van Golen,Kenneth Louis"
BISC207020L,LAB,Introductory Biology I,NEWRK,4 Hrs,TF,1:00PM - 3:30PM,Jan 3 - Feb 4,"Kasprzak,Megan Elise"
BISC207021L,LAB,Introductory Biology I,NEWRK,4 Hrs,TF,4:00PM - 6:30PM,Jan 3 - Feb 4,"Kasprzak,Megan Elise"
BISC208010,LEC,Introductory Biology II,NEWRK,4 Hrs,TWRF,9:30AM - 11:30AM,Jan 3 - Feb 4,"Mahaffy,Lynn A"
BISC208020L,LAB,Introductory Biology II,NEWRK,4 Hrs,TF,1:00PM - 3:30PM,Jan 3 - Feb 4,"Kasprzak,Megan Elise"
BISC208021L,LAB,Introductory Biology II,NEWRK,4 Hrs,TF,4:00PM - 6:30PM,Jan 3 - Feb 4,"Kasprzak,Megan Elise"
BISC266010,IND,SPECIAL PROBLEM,NEWRK,1-3 Hrs,TF,4:00PM - 6:30PM,Jan 3 - Feb 4,"Kasprzak,Megan Elise"
BISC276194,LEC,Human Physiology,NEWRK,4 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Hong,Seung Mook"
BISC276195,LEC,Human Physiology,NEWRK,4 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Hong,Seung Mook"
BISC366000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BISC367194,LEC,SEMINAR: CONCEPTS IN GENETICS,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Raden,David L"
BISC367195,LEC,SEMINAR: CONCEPTS IN GENETICS,NEWRK,3 Hrs,ASYN,,Jan 3 - Feb 4,"Raden,David L"
BISC400010,LEC,Special Topics in Biology: BIOLOGY OF MAMMALIAN G-PROTEIN,NEWRK,1 Hrs,TR,12:30PM - 2:00PM,Jan 3 - Feb 4,"Van Golen,Kenneth Louis"
BISC468000,RSC,Research,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BISC480010,LEC,Vertebrate Natural History,NEWRK,3 Hrs,TWRF,2:00PM - 4:00PM,Jan 3 - Feb 4,"Mahaffy,Lynn A"
BMEG350010,LEC,Clinical Immersion for Engineers,NEWRK,3 Hrs,W,3:00PM - 4:30PM,Jan 3 - Feb 4,"Rooney,Sarah Ilkhanipour"
BMEG366000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BMEG466000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BMEG866000,IND,Special Problem,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BMEG866000,IND,Special Problem,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
BMSC868000,RSC,Research,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
