Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor,PreReqs
CGSC451010,LEC,Topics in Cognitive Science: NEUROSCIENCE OF LANGUAGE,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Feb 7 - May 17,"Legault,Jennifer",{'required': {'CGSC170': 'false'}}
CGSC466000,IND,Independent Study,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CGSC470010,LEC,Elements of Cognitive Science,NEWRK,3 Hrs,MW,5:00PM - 6:15PM,Feb 7 - May 17,"Nelson,Peter",{}
CGSC470080,LEC,Elements of Cognitive Science,NEWRK,3 Hrs,MW,5:00PM - 6:15PM,Feb 7 - May 17,"Nelson,Peter",{}
CGSC481010,LEC,Artificial Intelligence,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Feb 7 - May 17,"Beheshti,Rahmatollah",{'required': {'CISC220': 'false'}}
CGSC496010,LEC,Psycholinguistics,NEWRK,3 Hrs,MWF,12:20PM - 1:10PM,Feb 7 - May 17,Staff,"{'required': {'LING101': 'false', 'LING202': 'false'}}"
CGSC496010,LEC,Psycholinguistics,NEWRK,3 Hrs,MWF,12:20PM - 1:10PM,Feb 7 - May 17,Staff,"{'required': {'LING101': 'false', 'LING202': 'false'}}"
CGSC633010,LEC,Introduction to Acoustic Phonetics,NEWRK,3 Hrs,MW,3:35PM - 4:50PM,Feb 7 - May 17,"Pincus,Nadya A.",{}
CGSC651010,LEC,Topics in Cognitive Science,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Feb 7 - May 17,"Legault,Jennifer",{}
CGSC666000,IND,Special Problem,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CGSC670010,LEC,Elements of Cognitive Science,NEWRK,3 Hrs,MW,5:00PM - 6:15PM,Feb 7 - May 17,"Nelson,Peter",{}
CGSC681010,LEC,Artificial Intelligence,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Feb 7 - May 17,"Beheshti,Rahmatollah",{'required': {'CISC220': 'false'}}
CGSC696010,LEC,Psycholinguistics,NEWRK,3 Hrs,MWF,12:20PM - 1:10PM,Feb 7 - May 17,Staff,{}
CGSC890010,LEC,Studies in Linguistics,NEWRK,3 Hrs,TR,5:00PM - 6:15PM,Feb 7 - May 17,"Nelson,Peter",{}
CHEG112010,LEC,Introduction to Chemical Engineering,NEWRK,3 Hrs,MWF,10:10AM - 11:00AM,Feb 7 - May 17,"Blenner,Mark",{'required': {'MATH241': 'false'}}
CHEG112020L,LAB,Introduction to Chemical Engineering,NEWRK,3 Hrs,F,2:30PM - 3:20PM,Feb 7 - May 17,"Blenner,Mark",{'required': {'MATH241': 'false'}}
CHEG112021L,LAB,Introduction to Chemical Engineering,NEWRK,3 Hrs,F,2:30PM - 3:20PM,Feb 7 - May 17,"Blenner,Mark",{'required': {'MATH241': 'false'}}
CHEG112022L,LAB,Introduction to Chemical Engineering,NEWRK,3 Hrs,F,3:35PM - 4:25PM,Feb 7 - May 17,"Enszer,Joshua Alan",{'required': {'MATH241': 'false'}}
CHEG112023L,LAB,Introduction to Chemical Engineering,NEWRK,3 Hrs,F,3:35PM - 4:25PM,Feb 7 - May 17,"Enszer,Joshua Alan",{'required': {'MATH241': 'false'}}
CHEG112080,LEC,Introduction to Chemical Engineering,NEWRK,3 Hrs,MWF,10:10AM - 11:00AM,Feb 7 - May 17,"Blenner,Mark",{'required': {'MATH241': 'false'}}
CHEG112080L,LAB,Introduction to Chemical Engineering,NEWRK,3 Hrs,F,2:30PM - 3:20PM,Feb 7 - May 17,"Blenner,Mark",{'required': {'MATH241': 'false'}}
CHEG112081L,LAB,Introduction to Chemical Engineering,NEWRK,3 Hrs,F,2:30PM - 3:20PM,Feb 7 - May 17,"Blenner,Mark",{'required': {'MATH241': 'false'}}
CHEG112082L,LAB,Introduction to Chemical Engineering,NEWRK,3 Hrs,F,3:35PM - 4:25PM,Feb 7 - May 17,"Enszer,Joshua Alan",{'required': {'MATH241': 'false'}}
CHEG112083L,LAB,Introduction to Chemical Engineering,NEWRK,3 Hrs,F,3:35PM - 4:25PM,Feb 7 - May 17,"Enszer,Joshua Alan",{'required': {'MATH241': 'false'}}
CHEG266000,IND,Special Problem,NEWRK,1-3 Hrs,ASYN,12:00AM - 12:00AM,Feb 7 - May 17,Staff,{}
CHEG304010,LEC,Random Variability in Chemical Processes,NEWRK,3 Hrs,MWF,11:15AM - 12:05PM,Feb 7 - May 17,"Enszer,Joshua Alan",{}
CHEG304080,LEC,Random Variability in Chemical Processes,NEWRK,3 Hrs,MWF ,11:15AM - 12:05PM ,Feb 7 - May 17 ,"Enszer,Joshua Alan",{}
CHEG325010,LEC,Chemical Engineering Thermodynamics II,NEWRK,3 Hrs,TR,12:30PM - 1:45PM,Feb 7 - May 17,"Weiss,Catherine",{'required': {'CHEG231': 'false'}}
CHEG325011,LEC,Chemical Engineering Thermodynamics II,NEWRK,3 Hrs,TR,2:00PM - 3:15PM,Feb 7 - May 17,"Weiss,Catherine",{'required': {'CHEG231': 'false'}}
CHEG342010,LEC,Heat and Mass Transfer,NEWRK,3 Hrs,TR,9:30AM - 10:45AM,Feb 7 - May 17,"Chen,Wilfred",{'required': {'CHEG341': 'false'}}
CHEG342011,LEC,Heat and Mass Transfer,NEWRK,3 Hrs,TR,11:00AM - 12:15PM,Feb 7 - May 17,"Chen,Wilfred",{'required': {'CHEG341': 'false'}}
